ds;y
2015-01-01;0
2015-01-02;922
2015-01-03;1
2015-01-04;0
2015-01-05;932
2015-01-06;0
2015-01-07;1126
2015-01-08;1543
2015-01-09;1368
2015-01-10;2
2015-01-11;0
2015-01-12;1451
2015-01-13;1230
2015-01-14;1490
2015-01-15;1722
2015-01-16;1467
2015-01-17;3
2015-01-18;0
2015-01-19;1461
2015-01-20;1424
2015-01-21;1581
2015-01-22;1689
2015-01-23;1441
2015-01-24;3
2015-01-25;0
2015-01-26;1345
2015-01-27;1489
2015-01-28;1863
2015-01-29;2221
2015-01-30;2313
2015-01-31;13
2015-02-01;0
2015-02-02;1211
2015-02-03;1308
2015-02-04;1328
2015-02-05;1532
2015-02-06;1332
2015-02-07;1
2015-02-08;0
2015-02-09;1202
2015-02-10;1223
2015-02-11;1454
2015-02-12;1460
2015-02-13;1081
2015-02-14;1
2015-02-15;0
2015-02-16;1323
2015-02-17;1253
2015-02-18;1363
2015-02-19;1573
2015-02-20;1317
2015-02-21;3
2015-02-22;0
2015-02-23;1283
2015-02-24;1378
2015-02-25;1610
2015-02-26;2131
2015-02-27;2391
2015-02-28;4
2015-03-01;0
2015-03-02;1161
2015-03-03;1155
2015-03-04;1331
2015-03-05;1479
2015-03-06;1287
2015-03-07;1
2015-03-08;0
2015-03-09;1190
2015-03-10;1327
2015-03-11;1387
2015-03-12;1432
2015-03-13;1195
2015-03-14;0
2015-03-15;0
2015-03-16;1389
2015-03-17;1378
2015-03-18;1460
2015-03-19;1686
2015-03-20;1513
2015-03-21;2
2015-03-22;0
2015-03-23;1389
2015-03-24;1433
2015-03-25;1687
2015-03-26;1936
2015-03-27;2131
2015-03-28;3
2015-03-29;0
2015-03-30;2409
2015-03-31;2739
2015-04-01;1273
2015-04-02;1432
2015-04-03;834
2015-04-04;0
2015-04-05;0
2015-04-06;0
2015-04-07;921
2015-04-08;1137
2015-04-09;1297
2015-04-10;1325
2015-04-11;4
2015-04-12;0
2015-04-13;1099
2015-04-14;1307
2015-04-15;1215
2015-04-16;1387
2015-04-17;1215
2015-04-18;10
2015-04-19;0
2015-04-20;1164
2015-04-21;1229
2015-04-22;1418
2015-04-23;1567
2015-04-24;1451
2015-04-25;2
2015-04-26;0
2015-04-27;1531
2015-04-28;1787
2015-04-29;2271
2015-04-30;2182
2015-05-01;0
2015-05-02;0
2015-05-03;0
2015-05-04;943
2015-05-05;1111
2015-05-06;1099
2015-05-07;1410
2015-05-08;1188
2015-05-09;2
2015-05-10;0
2015-05-11;1123
2015-05-12;1177
2015-05-13;1214
2015-05-14;1489
2015-05-15;1356
2015-05-16;2
2015-05-17;0
2015-05-18;1120
2015-05-19;1227
2015-05-20;1287
2015-05-21;1369
2015-05-22;1283
2015-05-23;1
2015-05-24;0
2015-05-25;1245
2015-05-26;1400
2015-05-27;1691
2015-05-28;2290
2015-05-29;2668
2015-05-30;77
2015-05-31;0
2015-06-01;1192
2015-06-02;1317
2015-06-03;1389
2015-06-04;0
2015-06-05;579
2015-06-06;0
2015-06-07;0
2015-06-08;1060
2015-06-09;1261
2015-06-10;1293
2015-06-11;1530
2015-06-12;1303
2015-06-13;2
2015-06-14;0
2015-06-15;1291
2015-06-16;1372
2015-06-17;1428
2015-06-18;1447
2015-06-19;1290
2015-06-20;3
2015-06-21;0
2015-06-22;1332
2015-06-23;1514
2015-06-24;1751
2015-06-25;1921
2015-06-26;1915
2015-06-27;4
2015-06-28;0
2015-06-29;2052
2015-06-30;2584
2015-07-01;1292
2015-07-02;1469
2015-07-03;1184
2015-07-04;1
2015-07-05;0
2015-07-06;1200
2015-07-07;1305
2015-07-08;1248
2015-07-09;1396
2015-07-10;1202
2015-07-11;3
2015-07-12;0
2015-07-13;1101
