ds;y
2015-01-01;0
2015-01-02;859
2015-01-03;1
2015-01-04;0
2015-01-05;828
2015-01-06;0
2015-01-07;965
2015-01-08;1412
2015-01-09;1249
2015-01-10;2
2015-01-11;0
2015-01-12;1283
2015-01-13;1051
2015-01-14;1364
2015-01-15;1566
2015-01-16;1336
2015-01-17;3
2015-01-18;0
2015-01-19;1273
2015-01-20;1278
2015-01-21;1347
2015-01-22;1495
2015-01-23;1298
2015-01-24;3
2015-01-25;0
2015-01-26;1224
2015-01-27;1352
2015-01-28;1590
2015-01-29;1889
2015-01-30;2000
2015-01-31;5
2015-02-01;0
2015-02-02;1155
2015-02-03;1180
2015-02-04;1191
2015-02-05;1373
2015-02-06;1196
2015-02-07;1
2015-02-08;0
2015-02-09;1095
2015-02-10;1144
2015-02-11;1340
2015-02-12;1361
2015-02-13;991
2015-02-14;1
2015-02-15;0
2015-02-16;1174
2015-02-17;1123
2015-02-18;1206
2015-02-19;1415
2015-02-20;1217
2015-02-21;3
2015-02-22;0
2015-02-23;1127
2015-02-24;1246
2015-02-25;1421
2015-02-26;1873
2015-02-27;1940
2015-02-28;3
2015-03-01;0
2015-03-02;1070
2015-03-03;1028
2015-03-04;1199
2015-03-05;1381
2015-03-06;1170
2015-03-07;1
2015-03-08;0
2015-03-09;1080
2015-03-10;1181
2015-03-11;1269
2015-03-12;1330
2015-03-13;1099
2015-03-14;0
2015-03-15;0
2015-03-16;1258
2015-03-17;1209
2015-03-18;1300
2015-03-19;1518
2015-03-20;1370
2015-03-21;2
2015-03-22;0
2015-03-23;1232
2015-03-24;1242
2015-03-25;1503
2015-03-26;1756
2015-03-27;1737
2015-03-28;3
2015-03-29;0
2015-03-30;1996
2015-03-31;2308
2015-04-01;1155
2015-04-02;1301
2015-04-03;790
2015-04-04;0
2015-04-05;0
2015-04-06;0
2015-04-07;809
2015-04-08;1003
2015-04-09;1192
2015-04-10;1253
2015-04-11;4
2015-04-12;0
2015-04-13;956
2015-04-14;1154
2015-04-15;1103
2015-04-16;1267
2015-04-17;1110
2015-04-18;9
2015-04-19;0
2015-04-20;1068
2015-04-21;1131
2015-04-22;1217
2015-04-23;1362
2015-04-24;1305
2015-04-25;2
2015-04-26;0
2015-04-27;1350
2015-04-28;1564
2015-04-29;2020
2015-04-30;1712
2015-05-01;0
2015-05-02;0
2015-05-03;0
2015-05-04;860
2015-05-05;1018
2015-05-06;1010
2015-05-07;1269
2015-05-08;1084
2015-05-09;2
2015-05-10;0
2015-05-11;1000
2015-05-12;1030
2015-05-13;1094
2015-05-14;1367
2015-05-15;1136
2015-05-16;2
2015-05-17;0
2015-05-18;1036
2015-05-19;1123
2015-05-20;1175
2015-05-21;1295
2015-05-22;1137
2015-05-23;1
2015-05-24;0
2015-05-25;1092
2015-05-26;1246
2015-05-27;1374
2015-05-28;1966
2015-05-29;2210
2015-05-30;76
2015-05-31;0
2015-06-01;1099
2015-06-02;1214
2015-06-03;1245
2015-06-04;0
2015-06-05;521
2015-06-06;0
2015-06-07;0
2015-06-08;931
2015-06-09;1137
2015-06-10;1197
2015-06-11;1365
2015-06-12;1205
2015-06-13;1
2015-06-14;0
2015-06-15;1151
2015-06-16;1217
2015-06-17;1236
2015-06-18;1311
2015-06-19;1186
2015-06-20;2
2015-06-21;0
2015-06-22;1238
2015-06-23;1338
2015-06-24;1619
2015-06-25;1714
2015-06-26;1659
2015-06-27;4
2015-06-28;0
2015-06-29;1696
2015-06-30;2146
2015-07-01;1188
2015-07-02;1312
2015-07-03;1062
2015-07-04;0
2015-07-05;0
2015-07-06;1069
2015-07-07;1170
2015-07-08;1137
2015-07-09;1249
2015-07-10;1113
2015-07-11;3
2015-07-12;0
2015-07-13;942
2015-07-14;1155
2015-07-15;1113
2015-07-16;1369
2015-07-17;1035
2015-07-18;1
2015-07-19;0
2015-07-20;976
2015-07-21;996
2015-07-22;1062
2015-07-23;1302
2015-07-24;1111
2015-07-25;4
2015-07-26;0
2015-07-27;998
2015-07-28;1138
2015-07-29;1301
2015-07-30;1563
2015-07-31;1456
2015-08-01;1
2015-08-02;0
2015-08-03;913
2015-08-04;963
2015-08-05;966
2015-08-06;1112
2015-08-07;886
2015-08-08;3
2015-08-09;0
2015-08-10;849
2015-08-11;983
2015-08-12;1021
2015-08-13;1004
2015-08-14;471
2015-08-15;0
2015-08-16;0
2015-08-17;823
2015-08-18;934
2015-08-19;955
2015-08-20;1088
2015-08-21;944
2015-08-22;2
2015-08-23;0
2015-08-24;829
2015-08-25;946
